file,stimulus,condition,block,corrAns,,,
images/girl_hugging dog.jpg,girl_hugging dog.jpg,Plausible,1,c,,,
images/maid_sweeping closet.jpg,maid_sweeping closet.jpg,Plausible,1,c,,,
images/man_playing violin.jpg,man_playing violin.jpg,Plausible,1,c,,,
images/man_inflating air mattress.jpg,man_inflating air mattress.jpg,Plausible,1,c,,,
images/woman marrying robot.jpg,woman marrying robot.jpg,Implausible,1,n,,,
images/man_golfing mtn.jpg,man_golfing mtn.jpg,Plausible,1,c,,,
images/boy_holding dog.jpg,boy_holding dog.jpg,Plausible,1,c,,,
images/man_making pottery.jpg,man_making pottery.jpg,Plausible,1,c,,,
images/boy_kite.jpg,boy_kite.jpg,Plausible,1,c,,,
images/man and woman_dancing on beach.jpg,man and woman_dancing on beach.jpg,Plausible,1,c,,,
images/woman_watering outdoor plant indoors.jpg,woman_watering outdoor plant indoors.jpg,Implausible,1,n,,,
images/man_fishing.jpg,man_fishing.jpg,Plausible,1,c,,,
images/woman_watering.jpg,woman_watering.jpg,Implausible,1,n,,,
images/romantic dinner_table in water.jpg,romantic dinner_table in water.jpg,Implausible,1,n,,,
images/construction work_hammering.jpg,construction work_hammering.jpg,Plausible,1,c,,,
images/woman golfing off mans face.jpg,woman golfing off mans face.jpg,Implausible,1,n,,,
images/underwater jump rope.jpg,underwater jump rope.jpg,Implausible,1,n,,,
images/standing behind painting on wall.jpg,standing behind painting on wall.jpg,Implausible,1,n,,,
images/office men climbing lightpole.jpg,office men climbing lightpole.jpg,Implausible,1,n,,,
images/stethoscope to egg.jpg,stethoscope to egg.jpg,Implausible,1,n,,,
images/woman_ball and chain in desert.jpg,woman_ball and chain in desert.jpg,Implausible,1,n,,,
images/women walking prehistoric insects.jpg,women walking prehistoric insects.jpg,Implausible,1,n,,,
images/doubles figure skating.jpg,doubles figure skating.jpg,Plausible,1,c,,,
images/band in the street.jpg,band in the street.jpg,Plausible,1,c,,,
images/doubles tennis.jpg,doubles tennis.jpg,Plausible,1,c,,,
images/woman_hanging from door reading.jpg,woman_hanging from door reading.jpg,Implausible,1,n,,,
images/kicking soccer ball.jpg,kicking soccer ball.jpg,Plausible,1,c,,,
images/track meet in slippers.jpg,track meet in slippers.jpg,Implausible,1,n,,,
images/kids_presents.jpg,kids_presents.jpg,Plausible,1,c,,,
images/man_fishing boat.jpg,man_fishing boat.jpg,Plausible,1,c,,,
images/woman_bikini grocery store.jpg,woman_bikini grocery store.jpg,Implausible,1,n,,,
images/soup can phone_man on iceberg.jpg,soup can phone_man on iceberg.jpg,Implausible,1,n,,,
images/man_playing chess.jpg,man_playing chess.jpg,Plausible,1,c,,,
images/man and woman_jumping into water.jpg,man and woman_jumping into water.jpg,Plausible,1,c,,,
images/office waiting area_woman in pajamas.jpg,office waiting area_woman in pajamas.jpg,Implausible,1,n,,,
images/office men boxing.jpg,office men boxing.jpg,Implausible,1,n,,,
images/woman_pills with fork.jpg,woman_pills with fork.jpg,Implausible,1,n,,,
images/man_playing guitar.jpg,man_playing guitar.jpg,Plausible,1,c,,,
images/man_painting interior walls.jpg,man_painting interior walls.jpg,Plausible,1,c,,,
images/man_rock climbing.jpg,man_rock climbing.jpg,Plausible,1,c,,,
images/track meet_office building.jpg,track meet_office building.jpg,Implausible,1,n,,,
images/people standing alone with clocks.jpg,people standing alone with clocks.jpg,Implausible,1,n,,,
images/woman_kitchen frisbee.jpg,woman_kitchen frisbee.jpg,Implausible,1,n,,,
images/sports man hitting pink puff.jpg,sports man hitting pink puff.jpg,Implausible,1,n,,,
images/man and woman_dinner table.jpg,man and woman_dinner table.jpg,Plausible,1,c,,,
images/woman_kicking garment bag.jpg,woman_kicking garment bag.jpg,Implausible,1,n,,,
images/man_BMX bike.jpg,man_BMX bike.jpg,Plausible,1,c,,,
images/man fishing in road puddle.jpg,man fishing in road puddle.jpg,Implausible,2,n,,,
images/fish as gun.jpg,fish as gun.jpg,Implausible,2,n,,,
images/woman_mowing lawn.jpg,woman_mowing lawn.jpg,Plausible,2,c,,,
images/woman_bubble bath.jpg,woman_bubble bath.jpg,Plausible,2,c,,,
images/woman_pregnant at sink.jpg,woman_pregnant at sink.jpg,Plausible,2,c,,,
images/lifeguard in empty pool.jpg,lifeguard in empty pool.jpg,Implausible,2,n,,,
images/business man breakdancing outside.jpg,business man breakdancing outside.jpg,Implausible,2,n,,,
images/divers in empty pool.jpg,divers in empty pool.jpg,Implausible,2,n,,,
images/woman_sipping lemonade.jpg,woman_sipping lemonade.jpg,Plausible,2,c,,,
images/British guards_track meet.jpg,British guards_track meet.jpg,Implausible,2,n,,,
images/pointe shoes.jpg,pointe shoes.jpg,Plausible,2,c,,,
images/woman_architecture.jpg,woman_architecture.jpg,Plausible,2,c,,,
images/man_head in washer.jpg,man_head in washer.jpg,Implausible,2,n,,,
images/cabbage headphones.jpg,cabbage headphones.jpg,Implausible,2,n,,,
images/pen on paper.jpg,pen on paper.jpg,Plausible,2,c,,,
images/breakfast in field.jpg,breakfast in field.jpg,Implausible,2,n,,,
images/woman_shoe shopping.jpg,woman_shoe shopping.jpg,Plausible,2,c,,,
images/scientist_measuring.jpg,scientist_measuring.jpg,Plausible,2,c,,,
images/waiting in terminal.jpg,waiting in terminal.jpg,Plausible,2,c,,,
images/woman_exercise.jpg,woman_exercise.jpg,Plausible,2,c,,,
images/woman_laundry.jpg,woman_laundry.jpg,Plausible,2,c,,,
images/business men_kick boxing.jpg,business men_kick boxing.jpg,Implausible,2,n,,,
images/romantic beach dinner.jpg,romantic beach dinner.jpg,Plausible,2,c,,,
images/woman_packing unpacking.jpg,woman_packing unpacking.jpg,Plausible,2,c,,,
images/walking wooden bridge.jpg,walking wooden bridge.jpg,Plausible,2,c,,,
images/woman_dancing ballet.jpg,woman_dancing ballet.jpg,Plausible,2,c,,,
images/man breakdancing in kitchen.jpg,man breakdancing in kitchen.jpg,Implausible,2,n,,,
images/woman_shoveling snow.jpg,woman_shoveling snow.jpg,Plausible,2,c,,,
images/business man long jump over binders.jpg,business man long jump over binders.jpg,Implausible,2,n,,,
images/man swinging on street pole.jpg,man swinging on street pole.jpg,Implausible,2,n,,,
images/baby crib in desk drawer.jpg,baby crib in desk drawer.jpg,Implausible,2,n,,,
images/man playing instrument w ax.jpg,man playing instrument w ax.jpg,Implausible,2,n,,,
images/boys at ATM.jpg,boys at ATM.jpg,Implausible,2,n,,,
images/driving car through water.jpg,driving car through water.jpg,Implausible,2,n,,,
images/tying shoelace.jpg,tying shoelace.jpg,Plausible,2,c,,,
images/cheese grater on rock.jpg,cheese grater on rock.jpg,Implausible,2,n,,,
images/desert bath tub.jpg,desert bath tub.jpg,Implausible,2,n,,,
images/eating raw fish.jpg,eating raw fish.jpg,Implausible,2,n,,,
images/woman_clothesline.jpg,woman_clothesline.jpg,Plausible,2,c,,,
images/cutting hair w hedge trimmer.jpg,cutting hair w hedge trimmer.jpg,Implausible,2,n,,,
images/two girls_laptop and cell phone.jpg,two girls_laptop and cell phone.jpg,Plausible,2,c,,,
images/woman_driving.jpg,woman_driving.jpg,Plausible,2,c,,,
images/xray consultation.jpg,xray consultation.jpg,Plausible,2,c,,,
images/sick kid_thermometer.jpg,sick kid_thermometer.jpg,Plausible,2,c,,,
images/man washing face with stones.jpg,man washing face with stones.jpg,Implausible,2,n,,,
images/boy lifting truck.jpg,boy lifting truck.jpg,Implausible,2,n,,,
images/welder.jpg,welder.jpg,Plausible,2,c,,,
images/outrigger canoe.jpg,outrigger canoe.jpg,Plausible,2,c,,,
images/woman_grapes off vine.jpg,woman_grapes off vine.jpg,Plausible,2,c,,,
images/cutting jewelry on plate.jpg,cutting jewelry on plate.jpg,Implausible,2,n,,,
images/man hitting water with baseball bat.jpg,man hitting water with baseball bat.jpg,Implausible,2,n,,,
images/man eating shredded paper.jpg,man eating shredded paper.jpg,Implausible,2,n,,,
images/canoe on land.jpg,canoe on land.jpg,Implausible,2,n,,,
images/woman_ironing.jpg,woman_ironing.jpg,Plausible,2,c,,,
images/ballerina mechanic.jpg,ballerina mechanic.jpg,Implausible,2,n,,,
images/track meet.jpg,track meet.jpg,Plausible,2,c,,,
images/woman_surfing.jpg,woman_surfing.jpg,Plausible,2,c,,,
images/man balancing books on foot.jpg,man balancing books on foot.jpg,Implausible,2,n,,,
images/boy fishing in train terminal.jpg,boy fishing in train terminal.jpg,Implausible,2,n,,,
images/woman_smiling at phone.jpg,woman_smiling at phone.jpg,Plausible,2,c,,,
images/woman_rock climbing.jpg,woman_rock climbing.jpg,Plausible,2,c,,,
images/woman_throwing frisbee.jpg,woman_throwing frisbee.jpg,Plausible,2,c,,,
images/man drinking water with goldfish.jpg,man drinking water with goldfish.jpg,Implausible,2,n,,,
images/smoking cigar.jpg,smoking cigar.jpg,Plausible,2,c,,,
