file,stimulus,condition,block,corrAns
practice_images/balancing on umbrella.jpg,balancing on umbrella.jpg,implausible,practice,n
practice_images/bikini woman gun.jpg,bikini woman gun.jpg,implausible,practice,n
practice_images/boxer training.jpg,boxer training.jpg,plausible,practice,c
practice_images/girl and woman_patio.jpg,girl and woman_patio.jpg,plausible,practice,c
